Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,220nF,C21120
L1,25X48MM_NFC_ANTENNA,1,25X48MM_NFC_ANTENNA,
LED1,LED0805-R-RD,1,17-21SUYC/TR8,C2296
R1,0603,1,47,C23182
U1,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,1,NT3H2111W0FHKH,C710403
